regex,score
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((public health)|(health[\s]?care)),399
([^.?!]*)(\b((public health)|(health[\s]?care))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),400
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((AIDS)|(HIV)),401
([^.?!]*)(\b((AIDS)|(HIV))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),402
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((pollution)|(clean water)|(environment(al)?)|(drought)),403
([^.?!]*)(\b((pollution)|(clean water)|(environment(al)?)|(drought))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),404
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((climate change)|(global warming)),405
([^.?!]*)(\b((climate change)|(global warming))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),406
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((famine)|(food shortages?)),407
([^.?!]*)(\b((famine)|(food shortages?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),408
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((outbreaks?)|(epidemics?)),409
([^.?!]*)(\b((outbreaks?)|(epidemics?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),410
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((living conditions?)|(quality of life)),411
([^.?!]*)(\b((living conditions?)|(quality of life))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),412
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((bribes?)|(bribery)|(graft)),417
([^.?!]*)(\b((bribes?)|(bribery)|(graft))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),418
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((police corruption)|(police brutality)|(police violence)|(police abuses?)|(corrupt police)),419
([^.?!]*)(\b((police corruption)|(police brutality)|(police violence)|(police abuses?)|(corrupt police))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),420
([^.?!]*)(\b((mounties?)|(RMCP))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),421
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((mounties?)|(RMCP)),422
([^.?!]*)(\b((mounties?)|(RMCP))\b)([^.?!]*)((integrity)|(unfit)),423
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((mounties?)|(RMCP)),424
([^.?!]*)(\b((mounties?)|(RMCP))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),425
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((mounties?)|(RMCP)),426
([^.?!]*)(\b((mounties?)|(RMCP))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),427
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((mounties?)|(RMCP)),428
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((extra[\s]?judicial killings?)|(police killings?)),429
([^.?!]*)(\b((extra[\s]?judicial killings?)|(police killings?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),430
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((terrorism)|(terrorists?)|(extremists?)|(militants?)|(insurgents?)|(ISIS)),431
([^.?!]*)(\b((terrorism)|(terrorists?)|(extremists?)|(militants?)|(insurgents?)|(ISIS))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),432
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((car bombs?)|(suicide bomb(ing)?)|(assassination)|(assassinated?)),435
([^.?!]*)(\b((car bombs?)|(suicide bomb(ing)?)|(assassination)|(assassinated?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),436
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((crimes?)|(criminals?)),437
([^.?!]*)(\b((crimes?)|(criminals?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),438
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((anarchy)|(lawless(ness)?)),439
([^.?!]*)(\b((anarchy)|(lawless(ness)?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),440
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((political scandals?)|(political misconduct)),441
([^.?!]*)(\b((political scandals?)|(political misconduct))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),442
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((genocide)|(ethnic cleansing)|(mass killings?)),443
([^.?!]*)(\b((genocide)|(ethnic cleansing)|(mass killings?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),444
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((social unrest)|(public unrest)|(public order)),445
([^.?!]*)(\b((social unrest)|(public unrest)|(public order))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),446
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((public outcry)|(public outrage)),447
([^.?!]*)(\b((public outcry)|(public outrage))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),448
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((government reforms?)|(policy reforms?)|(political reforms?)|(change in government)),449
([^.?!]*)(\b((government reforms?)|(policy reforms?)|(political reforms?)|(change in government))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),450
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((rebellion)|(revolution)|(revolt)|(resistance)|(riots?)|(molotov)|(coup)),453
([^.?!]*)(\b((rebellion)|(revolution)|(revolt)|(resistance)|(riots?)|(molotov)|(coup))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),454
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((anti[\s]?gov(ernment)?)|(anti[-]gov(ernment)?)),455
([^.?!]*)(\b((anti[\s]?gov(ernment)?)|(anti[-]gov(ernment)?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),456
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(political stability),457
([^.?!]*)(\b(political stability)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),458
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((politically unstable)|(political instability)),459
([^.?!]*)(\b((politically unstable)|(political instability))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),460
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((public dissent)|(civil disobedience)),461
([^.?!]*)(\b((public dissent)|(civil disobedience))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),462
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((gov(ernment)? corruption)?|(corrupt gov(ernment)?)),463
([^.?!]*)(\b((gov(ernment)? corruption)?|(corrupt gov(ernment)?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),464
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((bureacracy)|(bureacrats?)),465
([^.?!]*)(\b((bureacracy)|(bureacrats?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),466
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(illegitimate government),467
([^.?!]*)(\b(illegitimate government)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),468
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(ethics commissioner),469
([^.?!]*)(\b(ethics commissioner)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),470
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(propaganda),471
([^.?!]*)(\b(propaganda)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?))   ,472
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)((pro[-]EU)|(pro[\s]?EU)),475
([^.?!]*)(\b((pro[-]EU)|(pro[\s]?EU))\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?))  ,476
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)((anti[-]Brexit)|(pro[\s]?Brexit)),477
([^.?!]*)(\b((anti[-]Brexit)|(pro[\s]?Brexit))\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?))                                                      ,478
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)(vote remain),479
([^.?!]*)(\b(vote remain)\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?))                                                      ,480
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)(remain in the EU)|(remain in the European Union)|(stay in the EU)|(stay in the European Union),481
([^.?!]*)(\b(remain in the EU)|(remain in the European Union)|(stay in the EU)|(stay in the European Union)\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?)),482
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)((leave the EU)|(leave the European Union)),483
([^.?!]*)(\b((leave the EU)|(leave the European Union))\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?)) ,484
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)((anti[-]EU)|(pro[\s]?EU)),485
([^.?!]*)(\b((anti[-]EU)|(pro[\s]?EU))\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?))                                                      ,486
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)((pro[-]Brexit)|(pro[\s]?Brexit)),487
([^.?!]*)(\b((pro[-]Brexit)|(pro[\s]?Brexit))\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?)) ,488
([^.?!]*)(\b((UK('s)?)|(United Kingdom('s)?))\b)([^.?!]*)(vote leave),489
([^.?!]*)(\b(vote leave)\b)([^.?!]*)((UK('s)?)|(United Kingdom('s)?)),490
([^.?!]*)(\b([#]Brexit)\b)([^.?!]*),491
([^.?!]*)(\b((Orange Democratic Movement)|(Orange)|(ODM)|(National Super Alliance)|(NASA))\b)([^.?!]*)((kenya(ns)?)),16
([^.?!]*)(\b(Jubilee)\b)([^.?!]*)((kenya(ns)?)),18
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Ruto('s)?)|([@]WilliamsRuto)),35
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Odinga('s)?)|([@]RailaOdinga)),43
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(Kibaki('s)?),51
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(Kibaki('s)),53
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(Kibaki('s)),55
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(Kibaki('s)),57
([^.?!]*)(\b((economy)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya))),138
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(national security),244
([^.?!]*)(\b((national security))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),245
([^.?!]*)(\b((sovereignty)|(independence)|(independent))\b)([^.?!]*)(Qu[e]bec),249
([^.?!]*)(\b(Qu[e]bec)\b)([^.?!]*)((sovereignty)|(independence)|(independent)),250
([^.?!]*)(\b(Qu[e]bec Solidaire)\b)([^.?!]*),251
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((civil rights?)|(civil liberties)|(civil liberty)),385
([^.?!]*)(\b((civil rights?)|(civil liberties)|(civil liberty))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),386
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((immigrants?)|(immigration)),413
([^.?!]*)(\b((immigrants?)|(immigration)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?))),414
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((refugees?)),415
([^.?!]*)(\b((refugees?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?))),416
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((white nationalists?)|(white supremacy)|(white supremacists)|(Neo-Nazism)|(neo-nazis?)),433
([^.?!]*)(\b((white nationalists?)|(white supremacy)|(white supremacists)|(Neo-Nazism)|(neo-nazis?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),434
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((protests?)),451
([^.?!]*)(\b(protests?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),452
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(national security),473
([^.?!]*)(\b(national security)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),474
